Número de Paciente,DNI,Nombre del Paciente,Edad,Tipo de Paciente,Fecha de Cita,Cobertura Médica,Médico,Especialidad,Tipo de Consulta,Costo de la Consulta,Método de Pago,Diagnóstico Principal,Código CIE-10,Tratamiento,Sucursal,Barrio,Año de cita ,Fecha de Cita,Mes de cita,tipo tratamiento numerico
1126,89012345,Luciana Vidal,38,Adulto,20/11/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Hipertensión,I10,Medicacón,Norte,Palermo,2025,20/11/2025,Noviembre,1
1127,90123456,Pedro Cárdenas,60,Adulto,21/11/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Eczema,L30.9,Crema tópica,Sur,Belgrano,2025,21/11/2025,Diciembre,2
1128,12345678,Sofía Ramirez,54,Adulto,22/11/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Chequeo General,Z00.0,Ninguno,Centro,Centro,2025,22/11/2025,Diciembre,4
1129,23456789,Mateo Gómez,48,Adulto,23/11/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Limpieza,Z00.0,Limpieza,Norte,Palermo,2025,23/11/2025,Diciembre,3
1130,34567890,Diego Torres,32,Adulto,24/11/2025,Particular, Diego Luna,Neurología,Emergencia,10000,Tarjeta,Accidente cerebrovascular,I64,Medicacón,Sur,Belgrano,2025,24/11/2025,Diciembre,1
1131,45678901,Julieta Paz,4,Pediátrico,25/11/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Ninguno,Centro,Villa Devoto,2025,25/11/2025,Diciembre,4
1132,56789012,Andrés Castro,48,Adulto,26/11/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Arritmia,I49.9,Estudio,Norte,Palermo,2025,26/11/2025,Diciembre,3
1133,67890123,Laura Pérez,35,Adulto,27/11/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Verrugas,B07,Cauterización,Sur,Belgrano,2025,27/11/2025,Diciembre,2
1134,78901234,Gabriel Sosa,62,Adulto,28/11/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Resfrío,J00,Ninguno,Centro,Centro,2025,28/11/2025,Diciembre,4
1135,89012345,Luciana Vidal,38,Adulto,29/11/2025,Swiss Medical, Sofía Torres,Odontología,Control,9000,Efectivo,Chequeo,Z00.0,Ninguno,Norte,Palermo,2025,29/11/2025,Diciembre,4
1136,90123456,Pedro Cárdenas,60,Adulto,30/11/2025,Particular, Diego Luna,Neurología,Rutina,10000,Tarjeta,Temblores,R25.1,Estudio,Sur,Belgrano,2025,30/11/2025,Diciembre,3
1137,12345678,Sofía Ramirez,7,Pediátrico,1/12/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Chequeo Anual,Z00.1,Ninguno,Centro,Villa Devoto,2025,1/12/2025,Diciembre,4
1138,23456789,Mateo Gómez,48,Adulto,2/12/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Dolor de pecho,R07.4,Analgésicos,Norte,Palermo,2025,2/12/2025,Diciembre,1
1139,34567890,Diego Torres,32,Adulto,3/12/2025,Particular, Laura Díaz,Dermatología,Control,6000,Tarjeta,Control de lunar,Z12.8,Ninguno,Sur,Belgrano,2025,3/12/2025,Diciembre,4
1140,45678901,Julieta Paz,25,Adulto,4/12/2025,OSDE, Carlos Ruíz,Clínica General,Emergencia,6500,Seguro Médico,Dolor de garganta,J02.9,Antibióticos,Centro,Villa Devoto,2025,4/12/2025,Diciembre,1
1141,56789012,Andrés Castro,48,Adulto,5/12/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Carie,K02.9,Relleno,Norte,Palermo,2025,5/12/2025,Diciembre,2
1142,67890123,Laura Pérez,35,Adulto,6/12/2025,Particular, Diego Luna,Neurología,Control,10000,Tarjeta,Migraña,G43.9,Medicacón,Sur,Belgrano,2025,6/12/2025,Diciembre,1
1143,78901234,Gabriel Sosa,6,Pediátrico,7/12/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Vitaminas,Centro,Villa Devoto,2025,7/12/2025,Diciembre,1
1144,89012345,Luciana Vidal,38,Adulto,8/12/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Hipertensión,I10,Medicacón,Norte,Palermo,2025,8/12/2025,Diciembre,1
1145,90123456,Pedro Cárdenas,60,Adulto,9/12/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Eczema,L30.9,Crema tópica,Sur,Belgrano,2025,9/12/2025,Diciembre,2
1146,12345678,Sofía Ramirez,54,Adulto,10/12/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Chequeo General,Z00.0,Ninguno,Centro,Centro,2025,10/12/2025,Diciembre,4
1147,23456789,Mateo Gómez,48,Adulto,11/12/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Limpieza,Z00.0,Limpieza,Norte,Palermo,2025,11/12/2025,Diciembre,3
1148,34567890,Diego Torres,32,Adulto,12/12/2025,Particular, Diego Luna,Neurología,Emergencia,10000,Tarjeta,Accidente cerebrovascular,I64,Medicacón,Sur,Belgrano,2025,12/12/2025,Diciembre,1
1149,45678901,Julieta Paz,4,Pediátrico,13/12/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Ninguno,Centro,Villa Devoto,2025,13/12/2025,Diciembre,4
1150,56789012,Andrés Castro,48,Adulto,14/12/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Arritmia,I49.9,Estudio,Norte,Palermo,2025,14/12/2025,Diciembre,3
1151,67890123,Laura Pérez,35,Adulto,15/12/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Verrugas,B07,Cauterización,Sur,Belgrano,2025,15/12/2025,Diciembre,2
1152,78901234,Gabriel Sosa,62,Adulto,16/12/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Resfrío,J00,Ninguno,Centro,Centro,2025,16/12/2025,Diciembre,4
1153,89012345,Luciana Vidal,38,Adulto,17/12/2025,Swiss Medical, Sofía Torres,Odontología,Control,9000,Efectivo,Chequeo,Z00.0,Ninguno,Norte,Palermo,2025,17/12/2025,Enero,4
1154,90123456,Pedro Cárdenas,60,Adulto,18/12/2025,Particular, Diego Luna,Neurología,Rutina,10000,Tarjeta,Temblores,R25.1,Estudio,Sur,Belgrano,2025,18/12/2025,Enero,3
1155,12345678,Sofía Ramirez,7,Pediátrico,19/12/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Chequeo Anual,Z00.1,Ninguno,Centro,Villa Devoto,2025,19/12/2025,Enero,4
1156,23456789,Mateo Gómez,48,Adulto,20/12/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Dolor de pecho,R07.4,Analgésicos,Norte,Palermo,2025,20/12/2025,Enero,1
1157,34567890,Diego Torres,32,Adulto,21/12/2025,Particular, Laura Díaz,Dermatología,Control,6000,Tarjeta,Control de lunar,Z12.8,Ninguno,Sur,Belgrano,2025,21/12/2025,Enero,4
1158,45678901,Julieta Paz,25,Adulto,22/12/2025,OSDE, Carlos Ruíz,Clínica General,Emergencia,6500,Seguro Médico,Dolor de garganta,J02.9,Antibióticos,Centro,Villa Devoto,2025,22/12/2025,Enero,1
1159,56789012,Andrés Castro,48,Adulto,23/12/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Carie,K02.9,Relleno,Norte,Palermo,2025,23/12/2025,Enero,2
1160,67890123,Laura Pérez,35,Adulto,24/12/2025,Particular, Diego Luna,Neurología,Control,10000,Tarjeta,Migraña,G43.9,Medicacón,Sur,Belgrano,2025,24/12/2025,Enero,1
1161,78901234,Gabriel Sosa,6,Pediátrico,25/12/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Vitaminas,Centro,Villa Devoto,2025,25/12/2025,Enero,1
1162,89012345,Luciana Vidal,38,Adulto,26/12/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Hipertensión,I10,Medicacón,Norte,Palermo,2025,26/12/2025,Enero,1
1163,90123456,Pedro Cárdenas,60,Adulto,27/12/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Eczema,L30.9,Crema tópica,Sur,Belgrano,2025,27/12/2025,Enero,2
1164,12345678,Sofía Ramirez,54,Adulto,28/12/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Chequeo General,Z00.0,Ninguno,Centro,Centro,2025,28/12/2025,Enero,4
1165,23456789,Mateo Gómez,48,Adulto,29/12/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Limpieza,Z00.0,Limpieza,Norte,Palermo,2025,29/12/2025,Enero,3
1166,34567890,Diego Torres,32,Adulto,30/12/2025,Particular, Diego Luna,Neurología,Emergencia,10000,Tarjeta,Accidente cerebrovascular,I64,Medicacón,Sur,Belgrano,2025,30/12/2025,Enero,1
1167,45678901,Julieta Paz,4,Pediátrico,31/12/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Ninguno,Centro,Villa Devoto,2025,31/12/2025,Enero,4
1168,56789012,Andrés Castro,48,Adulto,1/1/2026,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Arritmia,I49.9,Estudio,Norte,Palermo,2026,1/1/2026,Enero,3
1169,67890123,Laura Pérez,35,Adulto,2/1/2026,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Verrugas,B07,Cauterización,Sur,Belgrano,2026,2/1/2026,Enero,2
1170,78901234,Gabriel Sosa,62,Adulto,3/1/2026,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Resfrío,J00,Ninguno,Centro,Centro,2026,3/1/2026,Enero,4
1171,89012345,Luciana Vidal,38,Adulto,4/1/2026,Swiss Medical, Sofía Torres,Odontología,Control,9000,Efectivo,Chequeo,Z00.0,Ninguno,Norte,Palermo,2026,4/1/2026,Enero,4
1172,90123456,Pedro Cárdenas,60,Adulto,5/1/2026,Particular, Diego Luna,Neurología,Rutina,10000,Tarjeta,Temblores,R25.1,Estudio,Sur,Belgrano,2026,5/1/2026,Enero,3
1173,12345678,Sofía Ramirez,7,Pediátrico,6/1/2026,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Chequeo Anual,Z00.1,Ninguno,Centro,Villa Devoto,2026,6/1/2026,Enero,4
1174,23456789,Mateo Gómez,48,Adulto,7/1/2026,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Dolor de pecho,R07.4,Analgésicos,Norte,Palermo,2026,7/1/2026,Enero,1
1175,34567890,Diego Torres,32,Adulto,8/1/2026,Particular, Laura Díaz,Dermatología,Control,6000,Tarjeta,Control de lunar,Z12.8,Ninguno,Sur,Belgrano,2026,8/1/2026,Enero,4
1176,45678901,Julieta Paz,25,Adulto,9/1/2026,OSDE, Carlos Ruíz,Clínica General,Emergencia,6500,Seguro Médico,Dolor de garganta,J02.9,Antibióticos,Centro,Villa Devoto,2026,9/1/2026,Enero,1
1177,56789012,Andrés Castro,48,Adulto,10/1/2026,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Carie,K02.9,Relleno,Norte,Palermo,2026,10/1/2026,Enero,2
1178,67890123,Laura Pérez,35,Adulto,11/1/2026,Particular, Diego Luna,Neurología,Control,10000,Tarjeta,Migraña,G43.9,Medicacón,Sur,Belgrano,2026,11/1/2026,Enero,1
1179,78901234,Gabriel Sosa,6,Pediátrico,12/1/2026,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Vitaminas,Centro,Villa Devoto,2026,12/1/2026,Febrero,1
1180,89012345,Luciana Vidal,38,Adulto,13/1/2026,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Hipertensión,I10,Medicacón,Norte,Palermo,2026,13/1/2026,Febrero,1
1181,90123456,Pedro Cárdenas,60,Adulto,14/1/2026,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Eczema,L30.9,Crema tópica,Sur,Belgrano,2026,14/1/2026,Febrero,2
1182,12345678,Sofía Ramirez,54,Adulto,15/1/2026,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Chequeo General,Z00.0,Ninguno,Centro,Centro,2026,15/1/2026,Febrero,4
1183,23456789,Mateo Gómez,48,Adulto,16/1/2026,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Limpieza,Z00.0,Limpieza,Norte,Palermo,2026,16/1/2026,Febrero,3
1184,34567890,Diego Torres,32,Adulto,17/1/2026,Particular, Diego Luna,Neurología,Emergencia,10000,Tarjeta,Accidente cerebrovascular,I64,Medicacón,Sur,Belgrano,2026,17/1/2026,Febrero,1
1185,45678901,Julieta Paz,4,Pediátrico,18/1/2026,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Ninguno,Centro,Villa Devoto,2026,18/1/2026,Febrero,4
1186,56789012,Andrés Castro,48,Adulto,19/1/2026,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Arritmia,I49.9,Estudio,Norte,Palermo,2026,19/1/2026,Febrero,3
1187,67890123,Laura Pérez,35,Adulto,20/1/2026,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Verrugas,B07,Cauterización,Sur,Belgrano,2026,20/1/2026,Febrero,2
1188,78901234,Gabriel Sosa,62,Adulto,21/1/2026,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Resfrío,J00,Ninguno,Centro,Centro,2026,21/1/2026,Febrero,4
1189,89012345,Luciana Vidal,38,Adulto,22/1/2026,Swiss Medical, Sofía Torres,Odontología,Control,9000,Efectivo,Chequeo,Z00.0,Ninguno,Norte,Palermo,2026,22/1/2026,Febrero,4
1190,90123456,Pedro Cárdenas,60,Adulto,23/1/2026,Particular, Diego Luna,Neurología,Rutina,10000,Tarjeta,Temblores,R25.1,Estudio,Sur,Belgrano,2026,23/1/2026,Febrero,3
1191,12345678,Sofía Ramirez,7,Pediátrico,24/1/2026,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Chequeo Anual,Z00.1,Ninguno,Centro,Villa Devoto,2026,24/1/2026,Febrero,4
1192,23456789,Mateo Gómez,48,Adulto,25/1/2026,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Dolor de pecho,R07.4,Analgésicos,Norte,Palermo,2026,25/1/2026,Febrero,1
1193,34567890,Diego Torres,32,Adulto,26/1/2026,Particular, Laura Díaz,Dermatología,Control,6000,Tarjeta,Control de lunar,Z12.8,Ninguno,Sur,Belgrano,2026,26/1/2026,Febrero,4
1194,45678901,Julieta Paz,25,Adulto,27/1/2026,OSDE, Carlos Ruíz,Clínica General,Emergencia,6500,Seguro Médico,Dolor de garganta,J02.9,Antibióticos,Centro,Villa Devoto,2026,27/1/2026,Febrero,1
1195,56789012,Andrés Castro,48,Adulto,28/1/2026,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Carie,K02.9,Relleno,Norte,Palermo,2026,28/1/2026,Febrero,2
1196,67890123,Laura Pérez,35,Adulto,29/1/2026,Particular, Diego Luna,Neurología,Control,10000,Tarjeta,Migraña,G43.9,Medicacón,Sur,Belgrano,2026,29/1/2026,Febrero,1
1197,78901234,Gabriel Sosa,6,Pediátrico,30/1/2026,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Vitaminas,Centro,Villa Devoto,2026,30/1/2026,Febrero,1
1198,89012345,Luciana Vidal,38,Adulto,31/1/2026,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Hipertensión,I10,Medicacón,Norte,Palermo,2026,31/1/2026,Febrero,1
1199,90123456,Pedro Cárdenas,60,Adulto,1/2/2026,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Eczema,L30.9,Crema tópica,Sur,Belgrano,2026,1/2/2026,Febrero,2
1200,12345678,Sofía Ramirez,54,Adulto,2/2/2026,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Chequeo General,Z00.0,Ninguno,Centro,Centro,2026,2/2/2026,Febrero,4
